	sample	disease	tissue	dataset
41	GSM1389613	IgG4	Salivary	GSE40568
42	GSM1389614	IgG4	Salivary	GSE40568
43	GSM1389615	IgG4	Salivary	GSE40568
44	GSM1389616	IgG4	Salivary	GSE40568
45	GSM1389617	IgG4	Salivary	GSE40568
46	GSM1389618	Control	Salivary	GSE40568
47	GSM1389619	Control	Salivary	GSE40568
48	GSM1389620	Control	Salivary	GSE40568
